id,conversation,is_sales,is_rebuttal,is_obj
1,"Dzień dobry, nazywam się Anna Kowalska, dzwonię z banku Santander. Rozmowa jest nagrywana w celach szkoleniowych i jakościowych. Dzwonię w sprawie nowej oferty karty kredytowej SantCard Premium. Czy ma Pan chwilkę na rozmowę?

Tak, słucham.

Świetnie! Chciałabym Panu przedstawić naszą najnowszą kartę kredytową SantCard Premium z limitem do 50 tysięcy złotych. Karta oferuje cashback 3% na zakupy online i 1% na wszystkie inne transakcje. Czy Pan często robi zakupy przez internet?

Właściwie tak, ale już mam kartę kredytową w innym banku.

Rozumiem. Czy może mi Pan powiedzieć, ile płaci Pan rocznie za swoją obecną kartę? Nasza SantCard Premium przez pierwszy rok jest całkowicie bezpłatna.

Płacę około 200 złotych rocznie.

To świetna informacja! Nasz produkt przez pierwszy rok zaoszczędzi Panu te 200 złotych, a dodatkowo dzięki cashbackowi może Pan odzyskać część wydanych pieniędzy. Przy wydatkach 3000 złotych miesięcznie online, to około 1080 złotych zwrotu rocznie. Czy mogę przygotować dla Pana ofertę?

Hmm, brzmi interesująco. Ale czy nie ma jakichś ukrytych opłat?

Absolutnie nie! Pierwszego roku nie ma żadnych opłat - ani za kartę, ani za prowadzenie rachunku. Jedyne koszty to standardowe opłaty za wypłaty z bankomatów innych banków, ale z naszej sieci wypłaty są bezpłatne. Czy mogę zebrać podstawowe dane do przygotowania oferty?

Dobrze, może pan spróbować.

Dziękuję! Potrzebuję PESEL, imię, nazwisko i numer telefonu kontaktowego...",1,1,1
2,"Witam, nazywam się Marcin Nowak z banku Santander. Ta rozmowa jest nagrywana. Dzwonię w sprawie podwyższenia limitu na Pana rachunku w ramach produktu SantLimit Plus. Czy ma Pan chwilę?

Dzień dobry. Tak, słucham.

Analizując Pana historię transakcji widzimy, że często zbliża się Pan do wykorzystania obecnego limitu. Możemy Panu zaproponować zwiększenie z 5000 do 10000 złotych w SantLimit Plus. Czy byłby Pan zainteresowany?

A jakie są koszty?

Koszt to 2,5% miesięcznie od wykorzystanej kwoty. Nie ma opłat stałych ani za uruchomienie. Płaci Pan tylko za to, z czego faktycznie korzysta.

To dość sporo jak na debet.

Rozumiem Pana zastrzeżenia. To prawda, że to inwestycja, ale proszę pomyśleć - gdyby potrzebował Pan pilnie 3000 złotych na 2 tygodnie, to koszt to około 50 złotych. Kredyt w banku na tę samą kwotę i okres kosztowałby podobnie, a proces trwałby dni. Tu ma Pan dostęp od razu. Czy zdarzają się Panu nieplanowane wydatki?

Czasami się zdarzają, ale nie wiem czy potrzebuję aż 10 tysięcy.

Może zwiększymy limit do 7500 złotych? To będzie złoty środek - większa elastyczność finansowa, ale nie przesadnie wysokie zobowiązanie. Co Pan na to?

Muszę się nad tym zastanowić.

Oczywiście! Czy mogę oddzwonić w przyszłym tygodniu? A może ma Pan jakieś dodatkowe pytania, które pomogą w podjęciu decyzji?

Nie, na razie dziękuję.

Rozumiem. Życzę miłego dnia!",1,1,1
3,"Dzień dobry, Katarzyna Wiśniewska z banku Santander. Rozmowa jest nagrywana w celach jakościowych. Dzwonię w sprawie ubezpieczenia SantProtect. Czy to dobry moment na rozmowę?

Słucham.

Świetnie! Chciałabym Pani przedstawić nasze ubezpieczenie SantProtect, które obejmuje ochronę przed utratą pracy, chorobą i wypadkami. Czy ma Pani jakieś ubezpieczenie na życie?

Nie, nie mam.

To doskonały moment, żeby o tym pomyśleć. SantProtect to kompleksowa ochrona za jedyne 35 złotych miesięcznie. W przypadku utraty pracy pokrywamy Pani zobowiązania kredytowe do 12 miesięcy. Czy ma Pani kredyt hipoteczny lub konsumpcyjny?

Mam kredyt na mieszkanie.

Perfect! To największy wydatek miesięczny dla większości z nas. Gdyby coś się stało - choroba, wypadek, utrata pracy - SantProtect przejmie Pani raty. Ile wynosi Pani rata kredytu?

Około 2800 złotych.

Za 35 złotych miesięcznie ma Pani ochronę raty 2800 złotych. To mniej niż 1,3% wartości raty! Czy może Pani powiedzieć, w jakiej branży Pani pracuje?

W IT.

Świetnie! IT to stabilna branża, ale nawet tam mogą się zdarzyć reorganizacje. Nasze ubezpieczenie to taka poduszka bezpieczeństwa. Czy mogę przygotować dla Pani szczegółową ofertę?

Dobrze, ale chcę przeczytać warunki.

Oczywiście! Przygotuje komplety dokumentów. Potrzebuję tylko podstawowe dane...",1,0,0
4,"Witam, nazywam się Tomasz Kowalczyk, dzwonię z banku Santander. Informuję, że rozmowa jest nagrywana. Dzwonię w sprawie aktualizacji danych w naszym systemie. Czy ma Pani chwilę?

Tak, słucham.

Dziękuję. Zgodnie z przepisami musimy regularnie aktualizować dane naszych klientów. Chciałbym zweryfikować Pani adres zamieszkania. Czy nadal mieszka Pani przy ulicy Kwiatowej 15?

Nie, przeprowadziłam się rok temu.

Rozumiem. Czy może Pani podać aktualny adres?

Ul. Różana 8, Warszawa.

Dziękuję. A numer telefonu 600123456 to nadal aktualny numer kontaktowy?

Tak, to jest dobry numer.

Świetnie. Czy ma Pani aktualny adres email?

anna.kowalska@email.com

Dzękuję za aktualizację. Wszystkie dane zostały zaktualizowane w naszym systemie. Czy ma Pani może jakieś pytania dotyczące produktów bankowych?

Nie, dziękuję.

Rozumiem. Życzę miłego dnia!

Dziękuję, wzajemnie!",0,0,0
5,"Dzień dobry, nazywam się Agnieszka Zielińska z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie karty kredytowej SantCard Premium. Czy ma Pan chwilę?

Nie, nie mam czasu. Proszę nie dzwonić więcej.

Rozumiem, dziękuję za informację. Miłego dnia!",1,0,0
6,"Witam, Paweł Lewandowski z banku Santander. Ta rozmowa jest nagrywana w celach jakościowych. Dzwonię w sprawie promocyjnej oferty SantLimit Plus. Czy to dobry moment?

Słucham, ale jestem w pracy, więc szybko.

Rozumiem. Krótko - możemy Panu zwiększyć limit debetowy z obecnych 3000 do 8000 złotych za darmo na pierwsze 3 miesiące. Czy jest Pan zainteresowany?

Nie potrzebuję dodatkowego debetu. Dziękuję.

Rozumiem. Czy mogę zapytać, czy ma Pan może zainteresowanie kartą kredytową?

Nie, mam już wszystko czego potrzebuję. Dzięki.

Dziękuję za poświęcony czas. Miłego dnia!",1,0,0
7,"Dzień dobry, mówi Monika Nowacka z banku Santander. Rozmowa jest nagrywana dla celów jakościowych. Dzwonię w sprawie ubezpieczenia SantProtect. Czy ma Pani moment na rozmowę?

Tak, ale co to za ubezpieczenie?

To kompleksowe ubezpieczenie chroniące przed utratą dochodów w przypadku choroby, wypadku lub utraty pracy. Składka to tylko 29 złotych miesięcznie. Czy ma Pani rodzinę do utrzymania?

Tak, mam dwoje dzieci.

To wspaniała okazja, żeby zabezpieczyć ich przyszłość. W przypadku gdyby coś się Pani stało, SantProtect pokryje Pani zobowiązania finansowe do 24 miesięcy. Czy ma Pani kredyt hipoteczny?

Tak, ale już mam ubezpieczenie przy kredycie.

Rozumiem. A czy to ubezpieczenie obejmuje również utratę pracy?

Nie jestem pewna.

Warto to sprawdzić! Często ubezpieczenia przy kredytach pokrywają tylko śmierć i niezdolność do pracy. Nasze SantProtect obejmuje także bezrobocie i czasową niezdolność. Czy może Pani sprawdzić swoją polisę i oddzwonię za kilka dni?

Dobrze, sprawdzę.

Świetnie! Oddzwonię w czwartek około tej pory. Dziękuję za rozmowę!",1,0,0
8,"Nazywam się Robert Kowalski, dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie weryfikacji Pana danych osobowych. Czy ma Pan chwilę?

Tak, ale o co chodzi?

Ze względu na przepisy AML musimy regularnie weryfikować dane naszych klientów. Czy nadal pracuje Pan w firmie TechSoft?

Nie, zmieniłem pracę 6 miesięcy temu.

Rozumiem. Czy może Pan podać nazwę nowego pracodawcy?

Pracuję teraz w Digital Solutions.

Dziękuję. A czy zmienił się Pana miesięczny dochód?

Tak, zwiększył się do około 8500 złotych.

Świetnie! To dobra wiadomość. Aktualizuję dane w systemie. Skoro zarabia Pan więcej, może zainteresuje Pana podwyższenie limitu karty kredytowej?

A jaki mam teraz limit?

Obecnie ma Pan limit 15000 złotych na SantCard Premium. Możemy go zwiększyć do 25000 złotych.

Nie, dziękuję. Obecny limit mi wystarcza.

Rozumiem. Czy ma Pan może pytania dotyczące innych produktów?

Nie, wszystko w porządku.

Dziękuję za aktualizację danych. Miłego dnia!",0,0,0
9,"Dzień dobry, Magdalena Wójcik z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie nowej promocji na kartę SantCard Premium. Czy ma Pani chwilę?

Tak, słucham.

Świetnie! Mamy specjalną promocję - karta SantCard Premium przez pierwszy rok za darmo, plus 500 złotych premii za wydanie 3000 złotych w pierwszym miesiącu. Czy jest Pani zainteresowana?

A jaki jest limit tej karty?

Limit ustalamy indywidualnie, zazwyczaj od 5000 do 50000 złotych. Przy Pani dochodach mogłabym zaproponować 20000 złotych.

A skąd Pan wie jakie mam dochody?

Przepraszam za nieporozumienie. Nie mam dostępu do Pani dochodów. To była tylko orientacyjna kwota. Limit ustalimy na podstawie Pani wniosku i weryfikacji zdolności kredytowej.

Aha, rozumiem. A jakie są opłaty po pierwszym roku?

Po pierwszym roku opłata za kartę to 15 złotych miesięcznie, ale jeśli wyda Pani minimum 1000 złotych miesięcznie, opłata jest zniesiona.

To brzmi rozsądnie. A jak długo trwa proces?

Jeśli złoży Pani wniosek online, decyzja jest natychmiastowa, a karta dociera kurierem w 2-3 dni robocze.

Dobrze, zastanowię się.

Oczywiście! Czy może Pani powiedzieć, co powstrzymuje Panią przed podjęciem decyzji dzisiaj?

Wolę najpierw porównać z ofertami innych banków.

To mądre podejście. Czy mogę oddzwonić za tydzień i odpowiedzieć na ewentualne pytania po porównaniu?

Tak, może Pan zadzwonić.

Świetnie! Dzięki za poświęcony czas!",1,1,1
10,"Witam, nazywam się Krzysztof Jankowski z banku Santander. Rozmowa jest nagrywana w celach szkoleniowych. Dzwonię w sprawie SantLimit Plus. Czy ma Pan chwilę na rozmowę?

Słucham, ale krótko bo jestem w sklepie.

Rozumiem. Bardzo krótko - analizując Pana konto widzimy, że czasami ma Pan ujemne saldo. SantLimit Plus to bezpieczny debet do 5000 złotych z transparentnymi kosztami. Czy byłby Pan zainteresowany?

Nie lubię debetów, to drogi pieniądz.

Ma Pan rację, że to koszt. Ale czasami lepiej zapłacić 30 złotych za tydzień debetu niż 50 złotych kary za zwrot płatności. Czy zdarzają się Panu zwroty?

Czasami, ale rzadko.

To właśnie ten typ sytuacji, gdzie SantLimit Plus pomaga. Czy mogę przygotować szczegółową ofertę bez zobowiązań?

Dobrze, ale muszę kończyć.

Rozumiem! Wyślę SMS z linkiem do oferty. Dziękuję!

Okej, dzięki.",1,1,1
