id,filename,full_text,confidence,audio_duration_seconds,word_count,is_sales,is_rebuttal,is_obj,redacted_pii_policies
conv_20250813073921_7919,synthetic_20250322_4508.json,"Dzień dobry, nazywam się Andrzej i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie specjalnej oferty dotyczącej Santander Premium Card. Czy mogę rozmawiać z panem/panią Agnieszka? Tak, słucham. Chciałbym przedstawić panu/pani ofertę Santander Premium Card. Nie, dziękuję, nie jestem zainteresowany/a. Rozumiem, ale może warto poznać szczegóły? Santander Premium Card oferuje bardzo niskie oprocentowanie. Ile wynosi? Tylko 5.9% w skali roku. To brzmi drogo. W porównaniu do innych banków to bardzo atrakcyjna oferta. Dodatkowo nie ma ukrytych kosztów. Hmm, a jakie są warunki? Czy chciałby pan/pani, żebym skontaktował się ponownie w dogodnym terminie?",0.866191,357,94,True,True,True,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_8911,synthetic_20250602_4049.json,"Dzień dobry, nazywam się Katarzyna i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie specjalnej oferty dotyczącej Santander FlexiLimit. Czy mogę rozmawiać z panem/panią Joanna? Tak, ale już mam podobny produkt w innym banku. Rozumiem, ale Santander FlexiLimit może oferować lepsze warunki. Jakie konkretnie? Oprocentowanie tylko 5.9%, brak opłat za prowadzenie i możliwość zwiększenia limitu. To rzeczywiście lepiej niż mam teraz. Czy mogę poznać więcej szczegółów? Dziękuję za rozmowę. Życzę miłego dnia!",0.882889,154,74,True,False,True,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_2516,synthetic_20250224_9217.json,"Dzień dobry, nazywam się Piotr i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Dorota bezpieczeństwa transakcji. Czy mogę rozmawiać z panem/panią? Tak, to ja. Chciałbym przypomnieć o ważnych zasadach bezpieczeństwa przy korzystaniu z bankowości internetowej. Czy chciałby pan/pani poznać szczegóły? Tak, proszę. Pamiętaj, aby nigdy nie podawać swoich danych logowania...",0.98677,137,54,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_8421,synthetic_20250607_4464.json,"Dzień dobry, nazywam się Magdalena i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Grzegorz aplikacji mobilnej. Czy mogę rozmawiać z panem/panią? Tak, to ja. Chciałbym poinformować o nowej aktualizacji aplikacji, która poprawia bezpieczeństwo i dodaje nowe funkcje. Czy chciałby pan/pani poznać szczegóły? Tak, proszę. Nowa wersja oferuje...",0.908724,550,51,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_1016,synthetic_20250614_5345.json,"Dzień dobry, nazywam się Katarzyna i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie specjalnej oferty dotyczącej Santander Protect Plus. Czy mogę rozmawiać z panem/panią Marcin? Tak, to ja. Świetnie! Chciałbym przedstawić panu/pani specjalną ofertę Santander Protect Plus. To produkt, który może bardzo pomóc w codziennych finansach. Czy byłby pan/pani zainteresowany/a poznaniem szczegółów? Tak, chętnie posłucham. Doskonale! Santander Protect Plus oferuje bardzo atrakcyjne warunki... Dziękuję za poświęcony czas. Mam nadzieję, że oferta była interesująca.",0.864527,592,76,True,False,True,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_7130,synthetic_20250703_7909.json,"Dzień dobry, nazywam się Piotr i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Łukasz konta. Czy mogę rozmawiać z panem/panią? Tak, słucham. Chciałbym poinformować o nowych funkcjach w bankowości internetowej, które mogą być dla pana/pani przydatne. Czy chciałby pan/pani poznać szczegóły? Tak, proszę. Nowe funkcje obejmują...",0.940327,481,50,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_1717,synthetic_20250216_9543.json,"Dzień dobry, nazywam się Anna i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Monika błędnej transakcji. Czy mogę rozmawiać z panem/panią? Tak, to ja. Chciałbym poinformować, że błędna transakcja została zwrócona na pana/pani konto. Czy otrzymał pan/pani potwierdzenie? Tak, widzę zwrot na koncie. Świetnie! Przepraszamy za błąd i dziękujemy za cierpliwość.",0.977367,349,55,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_8827,synthetic_20250721_2347.json,"Dzień dobry, nazywam się Robert i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Monika finansów. Czy mogę rozmawiać z panem/panią? Tak, słucham. Chciałbym zaproponować bezpłatną konsultację finansową, która może pomóc w lepszym zarządzaniu pieniędzmi. Czy byłby pan/pani zainteresowany/a? Tak, to może być przydatne. Świetnie! Konsultacja trwa około 30 minut i jest całkowicie bezpłatna...",0.950964,155,57,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_2839,synthetic_20250707_8494.json,"Dzień dobry, nazywam się Grzegorz i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Łukasz inwestycji. Czy mogę rozmawiać z panem/panią? Tak, słucham. Chciałbym zaproponować konsultację dotyczącą możliwości inwestycyjnych, które mogą pomóc w pomnażaniu oszczędności. Czy byłby pan/pani zainteresowany/a? Tak, chętnie poznam ofertę. Świetnie! Nasz doradca inwestycyjny może przedstawić różne opcje...",0.966354,265,54,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_9248,synthetic_20250508_3988.json,"Dzień dobry, nazywam się Anna i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Anna konta. Czy mogę rozmawiać z panem/panią? Tak, to ja. Dziękuję. Chciałbym poinformować, że pana/pani konto zostało zaktualizowane i teraz oferuje nowe funkcje. Czy chciałby pan/pani poznać szczegóły? Tak, proszę. Świetnie! Nowe funkcje obejmują...",0.949306,165,51,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
